Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.0017625275729285356,4.401589285200336e-06,0.0,0.10725898198108944,0.022509471152814115,0.14130259301402176,0.37592173712089705,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,12,True,False,Multivariate
grammatical_gender,-1.0424334368813721e-23,4.537398318232843e-24,0.989202744306144,0.10725898198108944,0.022509471152814115,0.14130259301402176,0.37592173712089705,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,12,True,False,Multivariate
grammatical_number,0.0005806764371237092,2.4780986489065233e-06,0.0,0.10725898198108944,0.022509471152814115,0.14130259301402176,0.37592173712089705,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,12,True,False,Multivariate
grammatical_pos,0.00025169685478725496,1.7936794872204248e-06,0.0,0.10725898198108944,0.022509471152814115,0.14130259301402176,0.37592173712089705,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,12,True,False,Multivariate
grammatical_tense,0.0012847746598167802,4.73093898935819e-06,0.0,0.10725898198108944,0.022509471152814115,0.14130259301402176,0.37592173712089705,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,12,True,False,Multivariate
grammatical_person,3.3009896477140625e-05,5.379643557247616e-07,0.0,0.10725898198108944,0.022509471152814115,0.14130259301402176,0.37592173712089705,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,12,True,False,Multivariate
sequential_posit_from_start,0.0034240644287797293,5.450575601751507e-06,0.0,0.10725898198108944,0.022509471152814115,0.14130259301402176,0.37592173712089705,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,12,True,False,Multivariate
sentential_question,9.385203927466114e-05,9.797075452100253e-07,0.0,0.10725898198108944,0.022509471152814115,0.14130259301402176,0.37592173712089705,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,12,True,False,Multivariate
