Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.00033024439202408566,1.4517943053915331e-06,0.0,0.09522597648691183,0.015238848640718068,0.3142260070825038,0.5605618560675061,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,9,True,False,Multivariate
grammatical_gender,3.483845863401044e-05,4.817169470716865e-07,0.0,0.09522597648691183,0.015238848640718068,0.3142260070825038,0.5605618560675061,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,9,True,False,Multivariate
grammatical_number,0.0012013141477432829,2.593979962712146e-06,0.0,0.09522597648691183,0.015238848640718068,0.3142260070825038,0.5605618560675061,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,9,True,False,Multivariate
grammatical_pos,0.006867804388560017,9.48810546005135e-06,0.0,0.09522597648691183,0.015238848640718068,0.3142260070825038,0.5605618560675061,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,9,True,False,Multivariate
grammatical_tense,0.001287319357076352,4.0860829055865075e-06,0.0,0.09522597648691183,0.015238848640718068,0.3142260070825038,0.5605618560675061,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,9,True,False,Multivariate
grammatical_person,0.00028177037978695105,1.3239190811679194e-06,0.0,0.09522597648691183,0.015238848640718068,0.3142260070825038,0.5605618560675061,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,9,True,False,Multivariate
sequential_posit_from_start,0.0028620347306800506,4.5686818319237934e-06,0.0,0.09522597648691183,0.015238848640718068,0.3142260070825038,0.5605618560675061,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,9,True,False,Multivariate
sentential_question,8.367622399561495e-05,7.436854278540474e-07,0.0,0.09522597648691183,0.015238848640718068,0.3142260070825038,0.5605618560675061,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,9,True,False,Multivariate
