Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.0011095742619723417,3.0545900127735593e-06,0.0,0.09917464934116238,0.017919474741620846,0.14562407112877213,0.38160521372370837,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,17,True,False,Multivariate
grammatical_gender,0.0,0.0,1.0,0.09917464934116238,0.017919474741620846,0.14562407112877213,0.38160521372370837,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,17,True,False,Multivariate
grammatical_number,0.00018600737624367697,1.2631123689338674e-06,0.0,0.09917464934116238,0.017919474741620846,0.14562407112877213,0.38160521372370837,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,17,True,False,Multivariate
grammatical_pos,0.00024065350623472391,1.5503894417332723e-06,0.0,0.09917464934116238,0.017919474741620846,0.14562407112877213,0.38160521372370837,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,17,True,False,Multivariate
grammatical_tense,0.0011586645224317628,4.079880188081425e-06,0.0,0.09917464934116238,0.017919474741620846,0.14562407112877213,0.38160521372370837,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,17,True,False,Multivariate
grammatical_person,6.910757811040053e-05,7.382344387146985e-07,0.0,0.09917464934116238,0.017919474741620846,0.14562407112877213,0.38160521372370837,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,17,True,False,Multivariate
sequential_posit_from_start,0.00291543363388737,4.371673968327361e-06,0.0,0.09917464934116238,0.017919474741620846,0.14562407112877213,0.38160521372370837,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,17,True,False,Multivariate
sentential_question,0.00020779920771467176,1.2925965826112321e-06,0.0,0.09917464934116238,0.017919474741620846,0.14562407112877213,0.38160521372370837,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,17,True,False,Multivariate
