Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.0014945810638943731,3.7761470066978554e-06,0.0,0.10262408844302726,0.01991706641579688,0.14210745295092214,0.3769769393084464,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,14,True,False,Multivariate
grammatical_gender,-1.4706591330247047e-23,6.082024517564014e-24,0.9921978643248971,0.10262408844302726,0.01991706641579688,0.14210745295092214,0.3769769393084464,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,14,True,False,Multivariate
grammatical_number,0.00042002127388875355,2.0160110673827817e-06,0.0,0.10262408844302726,0.01991706641579688,0.14210745295092214,0.3769769393084464,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,14,True,False,Multivariate
grammatical_pos,0.00030475959681986034,1.8326332931380935e-06,0.0,0.10262408844302726,0.01991706641579688,0.14210745295092214,0.3769769393084464,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,14,True,False,Multivariate
grammatical_tense,0.001179886024058036,4.209039568175158e-06,0.0,0.10262408844302726,0.01991706641579688,0.14210745295092214,0.3769769393084464,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,14,True,False,Multivariate
grammatical_person,6.874326800207447e-05,7.698982644369039e-07,0.0,0.10262408844302726,0.01991706641579688,0.14210745295092214,0.3769769393084464,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,14,True,False,Multivariate
sequential_posit_from_start,0.0028996285868313266,4.650888169825778e-06,0.0,0.10262408844302726,0.01991706641579688,0.14210745295092214,0.3769769393084464,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,14,True,False,Multivariate
sentential_question,0.00011334632356594871,1.014340482481444e-06,0.0,0.10262408844302726,0.01991706641579688,0.14210745295092214,0.3769769393084464,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,14,True,False,Multivariate
