Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.00109981934461573,2.75911785020672e-06,0.0,0.09499814218116417,0.015362646868942224,0.37289699099557283,0.6106694172067608,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,5,True,False,Multivariate
grammatical_gender,0.0002387767566979219,1.555787125935799e-06,0.0,0.09499814218116417,0.015362646868942224,0.37289699099557283,0.6106694172067608,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,5,True,False,Multivariate
grammatical_number,0.0012589122822398548,2.800881933525865e-06,0.0,0.09499814218116417,0.015362646868942224,0.37289699099557283,0.6106694172067608,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,5,True,False,Multivariate
grammatical_pos,0.00723097617443229,1.0030133114406087e-05,0.0,0.09499814218116417,0.015362646868942224,0.37289699099557283,0.6106694172067608,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,5,True,False,Multivariate
grammatical_tense,0.0007123775722041167,2.8143739350190943e-06,0.0,0.09499814218116417,0.015362646868942224,0.37289699099557283,0.6106694172067608,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,5,True,False,Multivariate
grammatical_person,7.19154965352736e-05,6.575611282110692e-07,0.0,0.09499814218116417,0.015362646868942224,0.37289699099557283,0.6106694172067608,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,5,True,False,Multivariate
sequential_posit_from_start,0.004518630214969002,5.950693972751133e-06,0.0,0.09499814218116417,0.015362646868942224,0.37289699099557283,0.6106694172067608,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,5,True,False,Multivariate
sentential_question,5.990569027830201e-05,6.325605020748271e-07,0.0,0.09499814218116417,0.015362646868942224,0.37289699099557283,0.6106694172067608,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,5,True,False,Multivariate
