Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,6.672027986146468e-05,8.063988374370478e-07,0.0,0.10805057177256157,0.019709841544549647,0.22359707168436116,0.47286465003507383,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,3,True,False,Multivariate
grammatical_gender,0.0003055848667033455,1.9499997933221295e-06,0.0,0.10805057177256157,0.019709841544549647,0.22359707168436116,0.47286465003507383,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,3,True,False,Multivariate
grammatical_number,0.0025943806360127736,4.406654208239815e-06,0.0,0.10805057177256157,0.019709841544549647,0.22359707168436116,0.47286465003507383,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,3,True,False,Multivariate
grammatical_pos,0.009130454128001344,1.3043615577608863e-05,0.0,0.10805057177256157,0.019709841544549647,0.22359707168436116,0.47286465003507383,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,3,True,False,Multivariate
grammatical_tense,0.0011750398380824408,3.8341285715890045e-06,0.0,0.10805057177256157,0.019709841544549647,0.22359707168436116,0.47286465003507383,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,3,True,False,Multivariate
grammatical_person,6.473385657902736e-05,6.712913295432535e-07,0.0,0.10805057177256157,0.019709841544549647,0.22359707168436116,0.47286465003507383,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,3,True,False,Multivariate
sequential_posit_from_start,0.0004992971030216726,2.2282581031311636e-06,0.0,0.10805057177256157,0.019709841544549647,0.22359707168436116,0.47286465003507383,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,3,True,False,Multivariate
sentential_question,6.583264106696815e-05,7.537381741889154e-07,0.0,0.10805057177256157,0.019709841544549647,0.22359707168436116,0.47286465003507383,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,3,True,False,Multivariate
