Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.0005182981450203971,1.8427766709004162e-06,0.0,0.09293500699971152,0.014457081718938058,0.12316867189793801,0.35096441405230316,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,19,True,False,Multivariate
grammatical_gender,7.471897208109387e-24,3.1490871350662108e-24,0.008828858569343501,0.09293500699971152,0.014457081718938058,0.12316867189793801,0.35096441405230316,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,19,True,False,Multivariate
grammatical_number,2.0780031681295707e-05,3.823393621499547e-07,0.0,0.09293500699971152,0.014457081718938058,0.12316867189793801,0.35096441405230316,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,19,True,False,Multivariate
grammatical_pos,3.835091851711119e-05,5.379658966153695e-07,0.0,0.09293500699971152,0.014457081718938058,0.12316867189793801,0.35096441405230316,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,19,True,False,Multivariate
grammatical_tense,0.000849286093437862,3.028540481336516e-06,0.0,0.09293500699971152,0.014457081718938058,0.12316867189793801,0.35096441405230316,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,19,True,False,Multivariate
grammatical_person,7.737126006225416e-05,7.540162612854282e-07,0.0,0.09293500699971152,0.014457081718938058,0.12316867189793801,0.35096441405230316,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,19,True,False,Multivariate
sequential_posit_from_start,0.002190210295234715,3.3048409362059742e-06,0.0,0.09293500699971152,0.014457081718938058,0.12316867189793801,0.35096441405230316,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,19,True,False,Multivariate
sentential_question,0.0003103664596311578,1.4144099667546821e-06,0.0,0.09293500699971152,0.014457081718938058,0.12316867189793801,0.35096441405230316,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,19,True,False,Multivariate
