Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.0013702708165408588,5.31353032663956e-06,0.0,0.1623167060415627,0.041027973444119556,0.14029355422100093,0.374566574036696,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,24,True,False,Multivariate
grammatical_gender,9.002845900736881e-07,1.6271693011622708e-07,1.5755530606341132e-08,0.1623167060415627,0.041027973444119556,0.14029355422100093,0.374566574036696,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,24,True,False,Multivariate
grammatical_number,3.325920832163254e-23,2.2463288185768166e-23,0.06935621884757584,0.1623167060415627,0.041027973444119556,0.14029355422100093,0.374566574036696,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,24,True,False,Multivariate
grammatical_pos,0.002729916957147788,6.77701317461701e-06,0.0,0.1623167060415627,0.041027973444119556,0.14029355422100093,0.374566574036696,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,24,True,False,Multivariate
grammatical_tense,3.325920832163254e-23,2.2463288185768166e-23,0.06935621884757584,0.1623167060415627,0.041027973444119556,0.14029355422100093,0.374566574036696,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,24,True,False,Multivariate
grammatical_person,3.325920832163254e-23,2.2463288185768166e-23,0.06935621884757584,0.1623167060415627,0.041027973444119556,0.14029355422100093,0.374566574036696,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,24,True,False,Multivariate
sequential_posit_from_start,0.004297844816264971,9.266321105868856e-06,0.0,0.1623167060415627,0.041027973444119556,0.14029355422100093,0.374566574036696,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,24,True,False,Multivariate
sentential_question,3.325920832163254e-23,2.2463288185768166e-23,0.06935621884757584,0.1623167060415627,0.041027973444119556,0.14029355422100093,0.374566574036696,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,24,True,False,Multivariate
