Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,7.381864291358116e-07,6.78655652114552e-08,7.403106190286108e-28,0.08373288518816627,0.012278440559807265,0.40913797928992385,0.6396504070956336,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,7,True,False,Multivariate
grammatical_gender,0.00020797861882992412,1.3550148648943957e-06,0.0,0.08373288518816627,0.012278440559807265,0.40913797928992385,0.6396504070956336,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,7,True,False,Multivariate
grammatical_number,0.0006478885789223411,1.809597118601021e-06,0.0,0.08373288518816627,0.012278440559807265,0.40913797928992385,0.6396504070956336,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,7,True,False,Multivariate
grammatical_pos,0.012764174942811917,1.2930230275392484e-05,0.0,0.08373288518816627,0.012278440559807265,0.40913797928992385,0.6396504070956336,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,7,True,False,Multivariate
grammatical_tense,0.000339405578378727,1.6809919271994861e-06,0.0,0.08373288518816627,0.012278440559807265,0.40913797928992385,0.6396504070956336,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,7,True,False,Multivariate
grammatical_person,4.143959978301814e-05,3.899198566487582e-07,0.0,0.08373288518816627,0.012278440559807265,0.40913797928992385,0.6396504070956336,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,7,True,False,Multivariate
sequential_posit_from_start,0.0013263598108854855,2.770501468521062e-06,0.0,0.08373288518816627,0.012278440559807265,0.40913797928992385,0.6396504070956336,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,7,True,False,Multivariate
sentential_question,0.00039486730185666946,1.4544013752932244e-06,0.0,0.08373288518816627,0.012278440559807265,0.40913797928992385,0.6396504070956336,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,7,True,False,Multivariate
