Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.0010006264824881635,2.785580797247235e-06,0.0,0.10168084532561904,0.017295685800947896,0.10602414491452994,0.32562530798439104,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,4,True,False,Multivariate
grammatical_gender,8.056042114845823e-05,7.285134255612699e-07,0.0,0.10168084532561904,0.017295685800947896,0.10602414491452994,0.32562530798439104,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,4,True,False,Multivariate
grammatical_number,0.00139240738696097,3.172847484756059e-06,0.0,0.10168084532561904,0.017295685800947896,0.10602414491452994,0.32562530798439104,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,4,True,False,Multivariate
grammatical_pos,0.0018080087271473073,4.824296735440468e-06,0.0,0.10168084532561904,0.017295685800947896,0.10602414491452994,0.32562530798439104,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,4,True,False,Multivariate
grammatical_tense,0.0011407805135753364,3.8454120205185905e-06,0.0,0.10168084532561904,0.017295685800947896,0.10602414491452994,0.32562530798439104,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,4,True,False,Multivariate
grammatical_person,7.568310578112995e-05,7.448848334266657e-07,0.0,0.10168084532561904,0.017295685800947896,0.10602414491452994,0.32562530798439104,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,4,True,False,Multivariate
sequential_posit_from_start,0.0,0.0,1.0,0.10168084532561904,0.017295685800947896,0.10602414491452994,0.32562530798439104,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,4,True,False,Multivariate
sentential_question,0.0,0.0,1.0,0.10168084532561904,0.017295685800947896,0.10602414491452994,0.32562530798439104,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,4,True,False,Multivariate
