Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.0012265295918596887,3.215188399640053e-06,0.0,0.10550371413119111,0.018747125876027712,0.10498970912570416,0.32402499774600324,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,5,True,False,Multivariate
grammatical_gender,0.00011484072561076955,9.325431437292391e-07,0.0,0.10550371413119111,0.018747125876027712,0.10498970912570416,0.32402499774600324,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,5,True,False,Multivariate
grammatical_number,0.0013854435629363252,3.3300722953309956e-06,0.0,0.10550371413119111,0.018747125876027712,0.10498970912570416,0.32402499774600324,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,5,True,False,Multivariate
grammatical_pos,0.0018018214923508117,4.830410625400295e-06,0.0,0.10550371413119111,0.018747125876027712,0.10498970912570416,0.32402499774600324,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,5,True,False,Multivariate
grammatical_tense,0.001016043697041726,3.6013678981944086e-06,0.0,0.10550371413119111,0.018747125876027712,0.10498970912570416,0.32402499774600324,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,5,True,False,Multivariate
grammatical_person,0.00011573813385472493,1.0028689011470675e-06,0.0,0.10550371413119111,0.018747125876027712,0.10498970912570416,0.32402499774600324,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,5,True,False,Multivariate
sequential_posit_from_start,0.0,0.0,1.0,0.10550371413119111,0.018747125876027712,0.10498970912570416,0.32402499774600324,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,5,True,False,Multivariate
sentential_question,0.0,0.0,1.0,0.10550371413119111,0.018747125876027712,0.10498970912570416,0.32402499774600324,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,5,True,False,Multivariate
