Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,4.4682812755050044e-06,1.4502192535808877e-07,9.311779723208798e-209,0.081078451970192,0.01054656635108458,0.40160774626653156,0.63374046187364,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,11,True,False,Multivariate
grammatical_gender,8.216489315263608e-08,1.1112740071508513e-08,7.136889817064982e-14,0.081078451970192,0.01054656635108458,0.40160774626653156,0.63374046187364,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,11,True,False,Multivariate
grammatical_number,1.2339117555875947e-07,1.1855402052924455e-08,1.1396496262187303e-25,0.081078451970192,0.01054656635108458,0.40160774626653156,0.63374046187364,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,11,True,False,Multivariate
grammatical_pos,0.007188308386633408,7.599335332248701e-06,0.0,0.081078451970192,0.01054656635108458,0.40160774626653156,0.63374046187364,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,11,True,False,Multivariate
grammatical_tense,0.000518170184921215,1.8464078573870092e-06,0.0,0.081078451970192,0.01054656635108458,0.40160774626653156,0.63374046187364,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,11,True,False,Multivariate
grammatical_person,3.061670370415265e-05,3.648401561391485e-07,0.0,0.081078451970192,0.01054656635108458,0.40160774626653156,0.63374046187364,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,11,True,False,Multivariate
sequential_posit_from_start,0.0019112584952641874,2.9742891988890738e-06,0.0,0.081078451970192,0.01054656635108458,0.40160774626653156,0.63374046187364,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,11,True,False,Multivariate
sentential_question,0.0012368103307141807,2.4112430779509433e-06,0.0,0.081078451970192,0.01054656635108458,0.40160774626653156,0.63374046187364,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,11,True,False,Multivariate
