Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.0015614497854335647,4.029544801584403e-06,0.0,0.10711288159763918,0.021658402962864642,0.12905927805835854,0.35925064398430995,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,11,True,False,Multivariate
grammatical_gender,-3.451304900888621e-24,5.212764133670142e-24,0.7460423609114428,0.10711288159763918,0.021658402962864642,0.12905927805835854,0.35925064398430995,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,11,True,False,Multivariate
grammatical_number,0.0009010339866341073,3.0212513995210076e-06,0.0,0.10711288159763918,0.021658402962864642,0.12905927805835854,0.35925064398430995,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,11,True,False,Multivariate
grammatical_pos,0.0003850491588583104,2.1427633441487873e-06,0.0,0.10711288159763918,0.021658402962864642,0.12905927805835854,0.35925064398430995,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,11,True,False,Multivariate
grammatical_tense,0.0013588204560580467,4.576003551824166e-06,0.0,0.10711288159763918,0.021658402962864642,0.12905927805835854,0.35925064398430995,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,11,True,False,Multivariate
grammatical_person,5.8377210289264247e-05,7.233950573675847e-07,0.0,0.10711288159763918,0.021658402962864642,0.12905927805835854,0.35925064398430995,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,11,True,False,Multivariate
sequential_posit_from_start,0.0024457047151359847,4.6406592259879726e-06,0.0,0.10711288159763918,0.021658402962864642,0.12905927805835854,0.35925064398430995,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,11,True,False,Multivariate
sentential_question,1.9335345619788245e-05,4.4505211852585524e-07,0.0,0.10711288159763918,0.021658402962864642,0.12905927805835854,0.35925064398430995,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,11,True,False,Multivariate
