Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.001396087422853516,3.313594508966659e-06,0.0,0.09912771562831482,0.016178331279818332,0.30053741107230747,0.5482272927525511,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,3,True,False,Multivariate
grammatical_gender,0.0001358705614792388,1.1670500336838164e-06,0.0,0.09912771562831482,0.016178331279818332,0.30053741107230747,0.5482272927525511,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,3,True,False,Multivariate
grammatical_number,0.0010940631653865965,2.7370089685058156e-06,0.0,0.09912771562831482,0.016178331279818332,0.30053741107230747,0.5482272927525511,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,3,True,False,Multivariate
grammatical_pos,0.0053769108089898356,8.691194465868901e-06,0.0,0.09912771562831482,0.016178331279818332,0.30053741107230747,0.5482272927525511,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,3,True,False,Multivariate
grammatical_tense,0.0007058820152627097,2.932585376140932e-06,0.0,0.09912771562831482,0.016178331279818332,0.30053741107230747,0.5482272927525511,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,3,True,False,Multivariate
grammatical_person,0.0,0.0,1.0,0.09912771562831482,0.016178331279818332,0.30053741107230747,0.5482272927525511,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,3,True,False,Multivariate
sequential_posit_from_start,0.0031167163152336697,4.928155005883612e-06,0.0,0.09912771562831482,0.016178331279818332,0.30053741107230747,0.5482272927525511,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,3,True,False,Multivariate
sentential_question,4.981736681885387e-06,1.8712669381811816e-07,1.8750766236227191e-156,0.09912771562831482,0.016178331279818332,0.30053741107230747,0.5482272927525511,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,3,True,False,Multivariate
