Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.0,0.0,1.0,0.08002287530698284,0.010618108431606543,0.47246175394116163,0.6873709588921102,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,9,True,False,Multivariate
grammatical_gender,4.358078962827609e-05,4.7116278139429036e-07,0.0,0.08002287530698284,0.010618108431606543,0.47246175394116163,0.6873709588921102,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,9,True,False,Multivariate
grammatical_number,2.2897387643094085e-05,2.8154547718502093e-07,0.0,0.08002287530698284,0.010618108431606543,0.47246175394116163,0.6873709588921102,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,9,True,False,Multivariate
grammatical_pos,0.009604281411292057,9.454303458680633e-06,0.0,0.08002287530698284,0.010618108431606543,0.47246175394116163,0.6873709588921102,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,9,True,False,Multivariate
grammatical_tense,0.00029877780130357933,1.5193918119246418e-06,0.0,0.08002287530698284,0.010618108431606543,0.47246175394116163,0.6873709588921102,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,9,True,False,Multivariate
grammatical_person,4.8029831921262134e-05,4.3103538634407015e-07,0.0,0.08002287530698284,0.010618108431606543,0.47246175394116163,0.6873709588921102,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,9,True,False,Multivariate
sequential_posit_from_start,0.00318972954615102,3.995164370743965e-06,0.0,0.08002287530698284,0.010618108431606543,0.47246175394116163,0.6873709588921102,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,9,True,False,Multivariate
sentential_question,0.0010830696683775676,2.2474019996543364e-06,0.0,0.08002287530698284,0.010618108431606543,0.47246175394116163,0.6873709588921102,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,9,True,False,Multivariate
