Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,3.0470375908392733e-06,1.244775686571314e-07,1.2482102573932145e-132,0.07985723455676717,0.010480308386805696,0.4462636038168535,0.6680501191157009,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,10,True,False,Multivariate
grammatical_gender,6.271942894030775e-05,5.967614281120556e-07,0.0,0.07985723455676717,0.010480308386805696,0.4462636038168535,0.6680501191157009,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,10,True,False,Multivariate
grammatical_number,2.8314020031802386e-05,3.461574817256597e-07,0.0,0.07985723455676717,0.010480308386805696,0.4462636038168535,0.6680501191157009,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,10,True,False,Multivariate
grammatical_pos,0.010417364139460336,9.963751074867254e-06,0.0,0.07985723455676717,0.010480308386805696,0.4462636038168535,0.6680501191157009,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,10,True,False,Multivariate
grammatical_tense,0.00020549669398130853,1.1746384580745756e-06,0.0,0.07985723455676717,0.010480308386805696,0.4462636038168535,0.6680501191157009,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,10,True,False,Multivariate
grammatical_person,6.738216084559199e-05,5.15530950925649e-07,0.0,0.07985723455676717,0.010480308386805696,0.4462636038168535,0.6680501191157009,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,10,True,False,Multivariate
sequential_posit_from_start,0.001379430439588806,2.571918403175285e-06,0.0,0.07985723455676717,0.010480308386805696,0.4462636038168535,0.6680501191157009,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,10,True,False,Multivariate
sentential_question,0.0013496086403980642,2.48634091727155e-06,0.0,0.07985723455676717,0.010480308386805696,0.4462636038168535,0.6680501191157009,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,10,True,False,Multivariate
