Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.0003685669050070871,1.5047047843387983e-06,0.0,0.09474192429055618,0.015144813085505488,0.30906100172318174,0.5559371870731522,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,10,True,False,Multivariate
grammatical_gender,2.3115261698473495e-07,2.5294287246732234e-08,3.165332252071579e-20,0.09474192429055618,0.015144813085505488,0.30906100172318174,0.5559371870731522,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,10,True,False,Multivariate
grammatical_number,0.0010090679646639685,2.314992971415059e-06,0.0,0.09474192429055618,0.015144813085505488,0.30906100172318174,0.5559371870731522,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,10,True,False,Multivariate
grammatical_pos,0.006933364635302382,9.5617435803477e-06,0.0,0.09474192429055618,0.015144813085505488,0.30906100172318174,0.5559371870731522,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,10,True,False,Multivariate
grammatical_tense,0.0014480442432662514,4.455048626852617e-06,0.0,0.09474192429055618,0.015144813085505488,0.30906100172318174,0.5559371870731522,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,10,True,False,Multivariate
grammatical_person,0.00018838189216363222,1.0166112235274634e-06,0.0,0.09474192429055618,0.015144813085505488,0.30906100172318174,0.5559371870731522,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,10,True,False,Multivariate
sequential_posit_from_start,0.002548014033594485,4.341291798110873e-06,0.0,0.09474192429055618,0.015144813085505488,0.30906100172318174,0.5559371870731522,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,10,True,False,Multivariate
sentential_question,5.353011051149947e-05,5.971060583459206e-07,0.0,0.09474192429055618,0.015144813085505488,0.30906100172318174,0.5559371870731522,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,10,True,False,Multivariate
