Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.0005772429334500961,1.8554600599980345e-06,0.0,0.07503628933219739,0.010957186274185802,0.0928526473590045,0.3047250450400908,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,22,True,False,Multivariate
grammatical_gender,0.0,0.0,1.0,0.07503628933219739,0.010957186274185802,0.0928526473590045,0.3047250450400908,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,22,True,False,Multivariate
grammatical_number,2.7940870958101518e-05,4.2102868584286274e-07,0.0,0.07503628933219739,0.010957186274185802,0.0928526473590045,0.3047250450400908,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,22,True,False,Multivariate
grammatical_pos,0.0,0.0,1.0,0.07503628933219739,0.010957186274185802,0.0928526473590045,0.3047250450400908,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,22,True,False,Multivariate
grammatical_tense,0.00010701349758264565,8.139560515482601e-07,0.0,0.07503628933219739,0.010957186274185802,0.0928526473590045,0.3047250450400908,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,22,True,False,Multivariate
grammatical_person,5.437278425576205e-06,1.5634680435906274e-07,2.705309324673385e-265,0.07503628933219739,0.010957186274185802,0.0928526473590045,0.3047250450400908,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,22,True,False,Multivariate
sequential_posit_from_start,0.0014300612119458704,2.412182871701721e-06,0.0,0.07503628933219739,0.010957186274185802,0.0928526473590045,0.3047250450400908,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,22,True,False,Multivariate
sentential_question,3.6255255732707056e-05,4.2328349173418113e-07,0.0,0.07503628933219739,0.010957186274185802,0.0928526473590045,0.3047250450400908,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,22,True,False,Multivariate
