Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.0015411211382754763,4.118026196912397e-06,0.0,0.12184110206831045,0.02280010662840514,0.19030924130967114,0.43624180583248334,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,1,True,False,Multivariate
grammatical_gender,0.0003880305023408624,2.318173332176898e-06,0.0,0.12184110206831045,0.02280010662840514,0.19030924130967114,0.43624180583248334,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,1,True,False,Multivariate
grammatical_number,0.0015446277927819697,3.960871697700423e-06,0.0,0.12184110206831045,0.02280010662840514,0.19030924130967114,0.43624180583248334,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,1,True,False,Multivariate
grammatical_pos,0.0051290546279397645,9.425039087009978e-06,0.0,0.12184110206831045,0.02280010662840514,0.19030924130967114,0.43624180583248334,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,1,True,False,Multivariate
grammatical_tense,0.0006886279407244414,3.0281130583394468e-06,0.0,0.12184110206831045,0.02280010662840514,0.19030924130967114,0.43624180583248334,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,1,True,False,Multivariate
grammatical_person,1.938927983912185e-07,4.610627868168901e-08,1.3034222430685464e-05,0.12184110206831045,0.02280010662840514,0.19030924130967114,0.43624180583248334,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,1,True,False,Multivariate
sequential_posit_from_start,0.0011867136892555943,3.4596130628063957e-06,0.0,0.12184110206831045,0.02280010662840514,0.19030924130967114,0.43624180583248334,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,1,True,False,Multivariate
sentential_question,0.0,0.0,1.0,0.12184110206831045,0.02280010662840514,0.19030924130967114,0.43624180583248334,svo_long_word_level_offset_simplif,gpt2,0,,True,False,last-token,euclidean,1,True,False,Multivariate
