Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.001986525840939082,4.631046440082773e-06,0.0,0.10613484359817726,0.021926156131249177,0.08313985420122422,0.2883478846259422,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,9,True,False,Multivariate
grammatical_gender,4.7172515694727226e-07,2.8876916328446337e-08,2.749067256644149e-60,0.10613484359817726,0.021926156131249177,0.08313985420122422,0.2883478846259422,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,9,True,False,Multivariate
grammatical_number,0.0008256825691937012,2.9651044060094566e-06,0.0,0.10613484359817726,0.021926156131249177,0.08313985420122422,0.2883478846259422,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,9,True,False,Multivariate
grammatical_pos,0.0007870633472984241,3.029904236562524e-06,0.0,0.10613484359817726,0.021926156131249177,0.08313985420122422,0.2883478846259422,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,9,True,False,Multivariate
grammatical_tense,0.0008597995237603154,3.4650041342298896e-06,0.0,0.10613484359817726,0.021926156131249177,0.08313985420122422,0.2883478846259422,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,9,True,False,Multivariate
grammatical_person,5.408020519362482e-05,7.715207332470208e-07,0.0,0.10613484359817726,0.021926156131249177,0.08313985420122422,0.2883478846259422,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,9,True,False,Multivariate
sequential_posit_from_start,3.0651372064563155e-06,1.6938582436834618e-07,1.7259922409954262e-73,0.10613484359817726,0.021926156131249177,0.08313985420122422,0.2883478846259422,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,9,True,False,Multivariate
sentential_question,3.498258181058482e-05,5.879217755492901e-07,0.0,0.10613484359817726,0.021926156131249177,0.08313985420122422,0.2883478846259422,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,9,True,False,Multivariate
