Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.0006122629270816398,2.554700531661639e-06,0.0,0.11199992825525844,0.022138841349969043,0.1850190335902271,0.4301423152739595,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,1,True,False,Multivariate
grammatical_gender,0.0002492902560422256,1.7140568600443913e-06,0.0,0.11199992825525844,0.022138841349969043,0.1850190335902271,0.4301423152739595,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,1,True,False,Multivariate
grammatical_number,0.002811192067830704,4.79614714122327e-06,0.0,0.11199992825525844,0.022138841349969043,0.1850190335902271,0.4301423152739595,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,1,True,False,Multivariate
grammatical_pos,0.006180433653729769,1.1819496682200468e-05,0.0,0.11199992825525844,0.022138841349969043,0.1850190335902271,0.4301423152739595,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,1,True,False,Multivariate
grammatical_tense,0.0025262983400727358,6.2675587508714e-06,0.0,0.11199992825525844,0.022138841349969043,0.1850190335902271,0.4301423152739595,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,1,True,False,Multivariate
grammatical_person,2.1289056291118026e-05,3.9287305816443035e-07,0.0,0.11199992825525844,0.022138841349969043,0.1850190335902271,0.4301423152739595,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,1,True,False,Multivariate
sequential_posit_from_start,0.0006295434231122755,2.7089132674595776e-06,0.0,0.11199992825525844,0.022138841349969043,0.1850190335902271,0.4301423152739595,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,1,True,False,Multivariate
sentential_question,2.8527047841555834e-05,5.183124002160611e-07,0.0,0.11199992825525844,0.022138841349969043,0.1850190335902271,0.4301423152739595,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,last-token,euclidean,1,True,False,Multivariate
