Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
lexical_n_letters,0.001009308410336507,3.354889279767861e-06,0.0,0.10565117300166713,0.022014945273216745,0.09791723076529668,0.3129271557288528,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,20,True,False,Multivariate
grammatical_gender,9.962529610812516e-25,7.116091831855216e-25,0.08075663722068577,0.10565117300166713,0.022014945273216745,0.09791723076529668,0.3129271557288528,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,20,True,False,Multivariate
grammatical_number,0.00010071157246564306,1.093982222581004e-06,0.0,0.10565117300166713,0.022014945273216745,0.09791723076529668,0.3129271557288528,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,20,True,False,Multivariate
grammatical_pos,9.962529610812516e-25,7.116091831855216e-25,0.08075663722068577,0.10565117300166713,0.022014945273216745,0.09791723076529668,0.3129271557288528,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,20,True,False,Multivariate
grammatical_tense,0.000614604234524688,2.9127252107327274e-06,0.0,0.10565117300166713,0.022014945273216745,0.09791723076529668,0.3129271557288528,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,20,True,False,Multivariate
grammatical_person,3.6572484537070644e-05,6.471932084182439e-07,0.0,0.10565117300166713,0.022014945273216745,0.09791723076529668,0.3129271557288528,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,20,True,False,Multivariate
sequential_posit_from_start,0.002876258651041871,4.6660682342377705e-06,0.0,0.10565117300166713,0.022014945273216745,0.09791723076529668,0.3129271557288528,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,20,True,False,Multivariate
sentential_question,0.0002757487201551155,1.6515035837277459e-06,0.0,0.10565117300166713,0.022014945273216745,0.09791723076529668,0.3129271557288528,svo_long_word_level_offset_simplif,mamba,0,,True,False,last-token,euclidean,20,True,False,Multivariate
